school_id,school_id_t,school_name,school_address,school_x,school_y,grid_point_id,grid_left,grid_top,grid_col,grid_row,distance_m
648,22701000001_648,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 105""","603016, Нижегородская обл., Нижний Новгород г., Автомеханическая ул., 13А",43.86891200,56.23292900,1073532,4886136.73,7601667.63,589,962,2329.553
649,22701000001_649,"Муниципальное бюджетное образовательное учреждение ""Школа № 106""","603132, г. Нижний Новгород, бульвар Заречный,, д.16",43.94482900,56.28471400,1124515,4897336.73,7603667.63,617,957,7070.649
650,22701000001_650,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 109 имени Героя России Д.В.Жидкова""","Нижегородская обл, г. Нижний Новгород, Якорная ул, 121",43.88837000,56.31257000,1006111,4871336.73,7619267.63,552,918,7849.357
651,22701000001_651,"Муниципальное бюджетное общеобразовательное учреждение ""Школа №110""","Нижегородская обл, г. Нижний Новгород, Сергея Акимова ул, 35",43.92721300,56.34256000,1139017,4900536.73,7630067.63,625,891,6249.532
652,22701000001_652,"Муниципальное бюджетное образовательное учрежедение ""Школа № 114""","603069, Нижегородская обл., Нижний Новгород г., Земляничная ул., 1а",43.79453200,56.20038800,1020740,4874536.73,7594867.63,560,979,1874.888
653,22701000001_653,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 115""","Нижегородская обл, г. Нижний Новгород, Просвещенская ул, 4",43.87936900,56.32556900,1006111,4871336.73,7619267.63,552,918,7589.679
654,22701000001_654,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 117""","603040, Нижегородская область, город Нижний Новгород, ул. Чайковского, дом 12",43.85856400,56.36067100,993337,4868536.73,7630067.63,545,891,7514.140
655,22701000001_655,"Муниципальное бюджетное общеобразовательное учреждение ""Школа №  119 с углубленным изучением отдельных предметов""","603065, г. Нижний Новгород, ул. Дружаева, дом  5Б",43.87954000,56.25775300,1077173,4886936.73,7602067.63,591,961,4455.854
656,22701000001_656,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 11 имени Г.С.Бересневой""","Нижегородская обл, г. Нижний Новгород, Терешковой ул, 4а",43.98216300,56.27584900,1146358,4902136.73,7607267.63,629,948,4835.205
657,22701000001_657,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 120""","603032, г.Нижний Новгород, ул. Гончарова, д.12",43.94148700,56.28038200,1088098,4889336.73,7602467.63,597,960,6624.681
658,22701000001_658,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 121""","Нижегородская обл, г. Нижний Новгород, Тонкинская ул, 4",43.93487600,56.32467600,1139017,4900536.73,7630067.63,625,891,6707.865
659,22701000001_659,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 122""","603146 г.Н.Новгород, ул.Верхняя,8",44.01555300,56.29550000,1168199,4906936.73,7611667.63,641,937,5122.676
660,22701000001_660,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 123""","Нижегородская обл, г. Нижний Новгород, ул. Дружбы, д.50",43.91842800,56.28572300,1086277,4888936.73,7602467.63,596,960,7124.809
661,22701000001_661,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 124""","603138, г. Нижний Новгород, ул. Строкина 12А",43.84867300,56.26174300,1073532,4886136.73,7601667.63,589,962,5667.745
662,22701000001_662,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 126 с углубленным изучением английского языка""","603101, обл.Нижегородская, г.о..город Нижний Новгород, г.Нижний Новгород, пр-кт.Молодежный, 30А",43.85118900,56.24342500,1068071,4884936.73,7600867.63,586,964,3879.309
663,22701000001_663,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 127""","Нижегородская обл, г. Нижний Новгород, Комсомольская ул, 10А",43.85504300,56.25424200,1073532,4886136.73,7601667.63,589,962,4749.544
664,22701000001_664,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 129""","603142, Нижегородская обл., Нижний Новгород г., Лескова ул., 66А",43.84402000,56.22900100,1058969,4882936.73,7599667.63,581,967,2732.897
665,22701000001_665,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 12 с углубленным изучением отдельных предметов имени Е. П. Шнитникова""","603147, Нижегородская обл, г. Нижний Новгород, Южное ш, 33",43.87025100,56.22622400,1068071,4884936.73,7600867.63,586,964,1632.985
666,22701000001_666,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 130""","603 101,г. Нижний Новгород, Автозаводский район, ул. Краснодонцев, дом 1а",43.84877200,56.24483000,1068071,4884936.73,7600867.63,586,964,4090.769
